id,clasificacion,tipo_de_muestra,subtipo_de_muestra,analisis,naturaleza,unidades,cantidad_de_toma,tecnica,limite_maximo_permisible,NOM,UNIDADES_g_O_mL,Unidad,nom_Nombre,descripcion
136,CRUDO,Ensaladas,"Verdes, crudas o de frutas",Mesofílicos aerobios,NORMATIVO,UFC/g,300,NOM-092-SSA1-1994. Método vaciado en placa para bacterias aerobias.,150 000 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. verdes-crudas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos.  Especificaciones microbiológicas en alimentos. 1.2.3.2 verdes. Crudas o de frutas."
137,CRUDO,Ensaladas,"Verdes, crudas o de frutas",Vibrio cholerae,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.Técnicas para la investigación de Vibrio cholerae.,Vibrio cholerae en 50 g: AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [E. verdes-crudas] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos.  Especificaciones microbiológicas en alimentos. 1.2.3.2 verdes. Crudas o de frutas."
138,CRUDO,Productos cárnicos procesados,"Crudos m no listos para el consumo como arracheras marinadas, hamburguesas crudas, chorizos y longanizas",Escherichia coli,NORMATIVO,UFC/g,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,500 UFC/g,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
139,CRUDO,Productos cárnicos procesados,"Crudos M no listos para el consumo como arracheras marinadas, hamburguesas crudas, chorizos y longanizas",Escherichia coli,NORMATIVO,UFC/g,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,5000 UFC/g,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
140,CRUDO,Productos cárnicos procesados,"Crudos M no listos para el consumo como arracheras marinadas, hamburguesas crudas, chorizos y longanizas",Escherichia coli H7,NO NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,N/A,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
141,CRUDO,Productos cárnicos procesados,"Crudos M no listos para el consumo como arracheras marinadas, hamburguesas crudas, chorizos y longanizas",Escherichia coli O157,NO NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,N/A,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
142,CRUDO,Productos cárnicos procesados,"Crudos m no listos para el consumo como arracheras marinadas, hamburguesas crudas, chorizos y longanizas",Escherichia coli H7,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,Escherichia coli H7 en 25 g:  AUSENCIA,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
143,CRUDO,Productos cárnicos procesados,"Crudos m no listos para el consumo como arracheras marinadas, hamburguesas crudas, chorizos y longanizas",Escherichia coli O157,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,Escherichia coli O157 en 25 g:  AUSENCIA,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
144,CRUDO,Productos cárnicos procesados,"Precocidos m no listos para el consumo como nuggets, pechugas precocidas y alitas precocidas",Escherichia coli,NORMATIVO,UFC/g,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,500 UFC/g,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
145,CRUDO,Productos cárnicos procesados,"Precocidos M no listos para el consumo como nuggets, pechugas precocidas y alitas precocidas",Escherichia coli,NORMATIVO,UFC/g,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,5000 UFC/g,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
146,CRUDO,Productos cárnicos procesados,"Precocidos M no listos para el consumo como nuggets, pechugas precocidas y alitas precocidas",Escherichia coli H7,NO NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,N/A,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
147,CRUDO,Productos cárnicos procesados,"Precocidos M no listos para el consumo como nuggets, pechugas precocidas y alitas precocidas",Escherichia coli O157,NO NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,N/A,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
148,CRUDO,Productos cárnicos procesados,"Precocidos m no listos para el consumo como nuggets, pechugas precocidas y alitas precocidas",Escherichia coli H7,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,Escherichia coli H7 en 25 g:  AUSENCIA,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
149,CRUDO,Productos cárnicos procesados,"Precocidos m no listos para el consumo como nuggets, pechugas precocidas y alitas precocidas",Escherichia coli O157,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice J Normativo. Método para la enumeración de E. coli -glucuronidasa,Escherichia coli O157 en 25 g:  AUSENCIA,NOM-213-SSA1-2018,,g,Productos y servicios. Productos cárnicos procesados y los establecimientos dedicados a su proceso. Disposiciones y especificaciones sanitarias. Métodos de prueba,NOM-213-SSA1-2018. Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos de prueba. 6.1. Especificaciones Microbiológicas. Productos cárnicos
150,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Coliformes fecales,NORMATIVO,NMP/g,300,NOM-210-SSA1-2014. Apéndice H Normativo. Método del NMP-CF.,< 230 NMP/g,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
151,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Enterotoxinas estafilococcicas,,Negativo/ Positivo,300,"NOM-243-SSA1-2010. Apéndice B.15. Determinación de Enteretoxina Estafilocóccica, por el método de Elisa.",Negativo,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
152,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Gnathostoma,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,AUSENTE,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
153,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Paragonimus,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,AUSENTE,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
154,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Parásitos con cápsula > 3 mm de diámetro,NORMATIVO,/kg,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,2/kg de unidad de muestra,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
155,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Parásitos no encapsulados > 10 mm de longitud,NORMATIVO,/kg,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,1/kg de unidad de muestra,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
156,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Salmonella spp.,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice A Normativo. Método para el aislamiento de Salmonella spp.,Salmonella spp. en 25 g:  AUSENCIA,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
157,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Vibrio cholerae no O:1,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.2. Identificación y confirmación de V. cholerae NO O1 y V. mimicus.,Vibrio cholerae no O:1 en 50 g: AUSENCIA,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
158,CRUDO,Productos de la pesca procesados,"Crudos o precocidos, empanizados o rebozados (capeados), empanadas y congelados",Vibrio cholerae O:1,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.2. Identificación y confirmación de V. cholerae NO O1 y V. mimicus.,Vibrio cholerae O:1 en 50 g: AUSENCIA,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
159,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Coliformes fecales,NORMATIVO,NMP/g,300,NOM-210-SSA1-2014. Apéndice H Normativo. Método del NMP-CF.,< 230 NMP/g,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
160,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Enterotoxinas estafilococcicas,,Negativo/ Positivo,300,"NOM-243-SSA1-2010. Apéndice B.15. Determinación de Enteretoxina Estafilocóccica, por el método de Elisa.",Negativo,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
161,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Gnathostoma,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,AUSENTE,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
162,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Paragonimus,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,AUSENTE,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
163,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Parásitos con cápsula > 3 mm de diámetro,NORMATIVO,/kg,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,2/kg de unidad de muestra,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
164,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Parásitos no encapsulados > 10 mm de longitud,NORMATIVO,/kg,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,1/kg de unidad de muestra,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
165,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Salmonella spp.,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice A Normativo. Método para el aislamiento de Salmonella spp.,Salmonella spp. en 25 g:  AUSENCIA,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
166,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Vibrio cholerae no O:1,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.2. Identificación y confirmación de V. cholerae NO O1 y V. mimicus.,Vibrio cholerae no O:1 en 50 g: AUSENCIA,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
167,CRUDO,Productos de la pesca procesados,"Crudos, marinados o en salmuera",Vibrio cholerae O:1,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.19.2. Identificación y confirmación de V. cholerae NO O1 y V. mimicus.,Vibrio cholerae O:1 en 50 g: AUSENCIA,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.5 Semipreparados"
168,CRUDO,Productos de la pesca procesados,Emulsionados,Coliformes fecales,NORMATIVO,NMP/g,300,NOM-210-SSA1-2014. Apéndice H Normativo. Método del NMP-CF.,< 230 NMP/g,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.6 Emulsionados."
169,CRUDO,Productos de la pesca procesados,Emulsionados,Enterotoxinas estafilococcicas,,Negativo/ Positivo,300,"NOM-243-SSA1-2010. Apéndice B.15. Determinación de Enteretoxina Estafilocóccica, por el método de Elisa.",Negativo,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.6 Emulsionados."
170,CRUDO,Productos de la pesca procesados,Emulsionados,Salmonella spp.,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice A Normativo. Método para el aislamiento de Salmonella spp.,Salmonella spp. en 25 g:  AUSENCIA,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.6 Emulsionados."
171,CRUDO,Productos de la pesca procesados,Esterilizados comercialmente,Enterotoxinas estafilococcicas,,AUSENTE/ PRESENTE,300,"NOM-243-SSA1-2010. Apéndice B.15. Determinación de Enteretoxina Estafilocóccica, por el método de Elisa.",Ausente en todo el contenido del envase,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.1 Esterilizados comercialmente"
172,CRUDO,Productos de la pesca procesados,Esterilizados comercialmente,Mesófilos aerobios esporulados,,Negativo/ Positivo,300,,Negativo,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.1 Esterilizados comercialmente"
173,CRUDO,Productos de la pesca procesados,Esterilizados comercialmente,Mesófilos anaerobios esporulados,,Negativo/ Positivo,300,,Negativo,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.1 Esterilizados comercialmente"
174,CRUDO,Productos de la pesca procesados,Esterilizados comercialmente,Termófilos aerobios esporulados,,Negativo/ Positivo,300,,Negativo,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.1 Esterilizados comercialmente"
175,CRUDO,Productos de la pesca procesados,Esterilizados comercialmente,Termófilos anaerobios esporulados,,Negativo/ Positivo,300,,Negativo,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.1 Esterilizados comercialmente"
176,CRUDO,Productos de la pesca procesados,Esterilizados comercialmente,Toxina botulínica,,AUSENTE/ PRESENTE,300,,Ausente en todo el contenido del envase,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.1 Esterilizados comercialmente"
177,CRUDO,Productos de la pesca procesados,Salados y secos-salados,Enterotoxinas estafilococcicas,,Negativo/ Positivo,300,"NOM-243-SSA1-2010. Apéndice B.15. Determinación de Enteretoxina Estafilocóccica, por el método de Elisa.",Negativo,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.4 Salados y secos-salados."
178,CRUDO,Productos de la pesca procesados,Salados y secos-salados,Gnathostoma,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,AUSENTE,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.4 Salados y secos-salados."
179,CRUDO,Productos de la pesca procesados,Salados y secos-salados,Paragonimus,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,AUSENTE,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.4 Salados y secos-salados."
180,CRUDO,Productos de la pesca procesados,Salados y secos-salados,Parásitos con cápsula > 3 mm de diámetro,NORMATIVO,/kg,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,2/kg de unidad de muestra,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.4 Salados y secos-salados."
181,CRUDO,Productos de la pesca procesados,Salados y secos-salados,Parásitos no encapsulados > 10 mm de longitud,NORMATIVO,/kg,300,NOM-242-SSA1-2009. Apéndice B.23. Procedimiento al trasluz para la detección de parásitos.,1/kg de unidad de muestra,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.4 Salados y secos-salados."
182,CRUDO,Productos de la pesca procesados,Salados y secos-salados,Salmonella spp.,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice A Normativo. Método para el aislamiento de Salmonella spp.,Salmonella spp. en 25 g:  AUSENCIA,NOM-242-SSA1-2009,,g,"Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba.","NOM-242-SSA1-2009. Productos y servicios. Productos de la pesca frescos, refrigerados, congelados y procesados. Especificaciones sanitarias y métodos de prueba. 7.1.5.2.4 Salados y secos-salados."
